constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,terciles,paridad,dwell,4,mm,194,1287,0.0183167,0.010132,0.00438992,0.00320965,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,4,pt,194,1287,0.0183167,0.010132,0.00438992,0.00320965,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,4,nsb,194,1287,0.0151466,0.00702496,0.00253134,0.00230205,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,4,plugin,194,1287,0.0649257,0.0218868,0.014336,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,4,mm,194,1287,0.0626837,0.0196448,0.0120941,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,4,pt,194,1287,0.0626837,0.0196448,0.0120941,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,4,nsb,194,1287,0.0608084,0.0177111,0.0102563,0.00427766,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,4,plugin,194,1287,0.135799,0.0156832,0.00888792,0.00361663,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,4,mm,194,1287,0.132436,0.0123203,0.005525,0.00361663,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,4,pt,194,1287,0.132436,0.0123203,0.005525,0.00361663,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,4,nsb,194,1287,0.130327,0.00978738,0.00370254,0.00305898,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,8,plugin,194,1287,0.546334,0.380956,0.35184,0.0176796,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,8,mm,194,1287,0.349042,0.170005,0.136333,0.0200762,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,8,pt,194,1287,0.253199,0.0850182,0.0559023,0.0176796,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,evento,8,nsb,194,1287,0.234838,0.0539017,0.0214753,0.0196312,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,8,plugin,194,1287,0.0652281,0.042227,0.0322901,0.00580349,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,8,mm,194,1287,0.0377642,0.0147631,0.00482619,0.00580349,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,8,pt,194,1287,0.0377642,0.0147631,0.00482619,0.00580349,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell,8,nsb,194,1287,0.0313119,0.00873181,0.00339266,0.00281942,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,8,plugin,194,1287,0.0649257,0.0218868,0.014336,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,8,mm,194,1287,0.0626837,0.0196448,0.0120941,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,8,pt,194,1287,0.0626837,0.0196448,0.0120941,0.00434439,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,paso,8,nsb,194,1287,0.0608084,0.0177111,0.0102563,0.00427766,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,8,plugin,194,1287,0.14572,0.0218051,0.0140886,0.0044231,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,8,mm,194,1287,0.137873,0.0139582,0.00624178,0.0044231,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,8,pt,194,1287,0.137873,0.0139582,0.00624178,0.0044231,0.000999001,True,0.002997,True
E215C,10uM,0,terciles,paridad,dwell_paso,8,nsb,194,1287,0.134647,0.00974744,0.00368805,0.00320558,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,4,plugin,60,402,0.276486,0.193702,0.160504,0.0198162,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,4,mm,60,402,0.215476,0.129036,0.0920637,0.0220883,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,4,pt,60,402,0.161644,0.0716719,0.0273254,0.0258154,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,evento,4,nsb,60,402,0.16717,0.0809688,0.0401636,0.024095,0.000999001,True,0.002997,True
E215C,100uM,1,centros_4_8_16,orden,dwell,4,plugin,60,402,0.0382103,0.0282954,0.0152988,0.00733586,0.011988,True,0.023976,True
E215C,100uM,1,centros_4_8_16,orden,dwell,4,mm,60,402,0.0220607,0.0121458,-0.000850734,0.00733586,0.011988,True,0.023976,True
E215C,100uM,1,centros_4_8_16,orden,dwell,4,pt,60,402,0.0220607,0.0121458,-0.000850734,0.00733586,0.011988,True,0.023976,True
E215C,100uM,1,centros_4_8_16,orden,dwell,4,nsb,60,402,0.0131685,0.00594217,0.000190837,0.00330212,0.011988,True,0.023976,True
